"p","mid_onshore","low_onshore","high_onshore","distribution_onshore","shape_onshore","mid_offshore","low_offshore","high_offshore","distribution_offshore","shape_offshore","mid_diff","low_diff","high_diff"
"att",0.8748806,0.8191342,0.9334222,"pert",4,0.684,0.646,0.721,"pert",4,TRUE,TRUE,TRUE
"attscreen",0.325,0.2,0.6,"pert",4,1,1,1,"pert",4,TRUE,TRUE,TRUE
"cattend",103.460714,103.460714,103.460714,"pert",4,120.47485,120.47485,120.47485,"pert",4,TRUE,TRUE,TRUE
"cparttreat1HP",48.8233333333333,0,0,"pert",4,66.7451333333333,0,0,"pert",4,TRUE,FALSE,FALSE
"cparttreat3HP",70.0669333333333,0,0,"pert",4,87.9887333333333,0,0,"pert",4,TRUE,FALSE,FALSE
"cparttreat3HR",59.6402666666667,0,0,"pert",4,77.5620666666667,0,0,"pert",4,TRUE,FALSE,FALSE
"cparttreat4R",53.0536,0,0,"pert",4,70.9754,0,0,"pert",4,TRUE,FALSE,FALSE
"cparttreat6H",83.4554,0,0,"pert",4,101.3772,0,0,"pert",4,TRUE,FALSE,FALSE
"cparttreat6wP",77.8718,0,0,"pert",4,95.7936,0,0,"pert",4,TRUE,FALSE,FALSE
"cparttreat9H",111.7972,0,0,"pert",4,129.719,0,0,"pert",4,TRUE,FALSE,FALSE
"cparttreatspec1HP",48.8233333333333,0,0,"pert",4,126.623333333333,0,0,"pert",4,TRUE,FALSE,FALSE
"cparttreatspec3HP",112.123333333333,0,0,"pert",4,189.923333333333,0,0,"pert",4,TRUE,FALSE,FALSE
"cparttreatspec3HR",101.696666666667,0,0,"pert",4,179.496666666667,0,0,"pert",4,TRUE,FALSE,FALSE
"cparttreatspec4R",95.11,0,0,"pert",4,172.91,0,0,"pert",4,TRUE,FALSE,FALSE
"cparttreatspec6H",146.54,0,0,"pert",4,224.34,0,0,"pert",4,TRUE,FALSE,FALSE
"cparttreatspec6wP",98.9,0,0,"pert",4,176.7,0,0,"pert",4,TRUE,FALSE,FALSE
"cparttreatspec9H",195.91,0,0,"pert",4,273.71,0,0,"pert",4,TRUE,FALSE,FALSE
"cscreenqft",113.48,113.48,113.48,"pert",4,0,0,0,"pert",4,TRUE,TRUE,TRUE
"cscreentst",116.07,116.07,116.07,"pert",4,0,0,0,"pert",4,TRUE,TRUE,TRUE
"ctreat1HP",137.62,0,0,"pert",4,173.4636,0,0,"pert",4,TRUE,FALSE,FALSE
"ctreat3HP",165.5072,0,0,"pert",4,201.3508,0,0,"pert",4,TRUE,FALSE,FALSE
"ctreat3HR",134.2272,0,0,"pert",4,170.0708,0,0,"pert",4,TRUE,FALSE,FALSE
"ctreat4R",123.3172,0,0,"pert",4,159.1608,0,0,"pert",4,TRUE,FALSE,FALSE
"ctreat6H",187.7508,0,0,"pert",4,223.5944,0,0,"pert",4,TRUE,FALSE,FALSE
"ctreat6wP",206.8436,0,0,"pert",4,242.6872,0,0,"pert",4,TRUE,FALSE,FALSE
"ctreat9H",254.8544,0,0,"pert",4,290.698,0,0,"pert",4,TRUE,FALSE,FALSE
"ctreatspec1HP",137.62,0,0,"pert",4,293.22,0,0,"pert",4,TRUE,FALSE,FALSE
"ctreatspec3HP",249.62,0,0,"pert",4,405.22,0,0,"pert",4,TRUE,FALSE,FALSE
"ctreatspec3HR",218.34,0,0,"pert",4,373.94,0,0,"pert",4,TRUE,FALSE,FALSE
"ctreatspec4R",207.43,0,0,"pert",4,363.03,0,0,"pert",4,TRUE,FALSE,FALSE
"ctreatspec6H",313.92,0,0,"pert",4,469.52,0,0,"pert",4,TRUE,FALSE,FALSE
"ctreatspec6wP",248.9,0,0,"pert",4,404.5,0,0,"pert",4,TRUE,FALSE,FALSE
"ctreatspec9H",423.08,0,0,"pert",4,578.68,0,0,"pert",4,TRUE,FALSE,FALSE
"num.appt1HP",0,0,1,"pert",4,1,1,2,"pert",4,TRUE,TRUE,TRUE
"num.appt3HP",2,1,4,"pert",4,3,2,5,"pert",4,TRUE,TRUE,TRUE
"num.appt3HR",2,1,4,"pert",4,3,2,5,"pert",4,TRUE,TRUE,TRUE
"num.appt4R",2,1,4,"pert",4,3,2,5,"pert",4,TRUE,TRUE,TRUE
"num.appt6H",3,2,7,"pert",4,4,3,8,"pert",4,TRUE,TRUE,TRUE
"num.appt6wP",1,1,2,"pert",4,2,1,3,"pert",4,TRUE,FALSE,TRUE
"num.appt9H",4,3,8,"pert",4,5,4,9,"pert",4,TRUE,TRUE,TRUE
"ttt3HP",0.292,0.028,0.417,"pert",4,0.25,0.167,0.375,"pert",4,TRUE,TRUE,TRUE
"ttt4R",0.333,0.25,0.458,"pert",4,0.292,0.208,0.417,"pert",4,TRUE,TRUE,TRUE
"ttt6H",0.417,0.333,0.542,"pert",4,0.375,0.292,0.5,"pert",4,TRUE,TRUE,TRUE
"ttt9H",0.542,0.458,0.667,"pert",4,0.5,0.417,0.625,"pert",4,TRUE,TRUE,TRUE
"uactivetb",0.818219559994167,0.7068,0.84997163666625,"pert",4,0.818219583313889,0.7068,0.8499716666625,"pert",4,TRUE,FALSE,TRUE
